<frozen runpy>:128: RuntimeWarning: 'core.data_parser.main' found in sys.modules after import of package 'core.data_parser', but prior to execution of 'core.data_parser.main'; this may result in unpredictable behaviour
2025-12-02 12:48:12,366 - DEBUG - data_processor.py:242 - [_calculate_single_cbm] Attempting to parse CBM string: '2.2*1.8*0.49'. for CBM at row index 7
2025-12-02 12:48:12,367 - DEBUG - data_processor.py:277 - [_calculate_single_cbm] Calculated CBM volume: 1.9404 from '2.2*1.8*0.49' (Dims: [Decimal('2.2'), Decimal('1.8'), Decimal('0.49')]). for CBM at row index 7
2025-12-02 12:48:12,367 - DEBUG - data_processor.py:216 - [_calculate_single_cbm] Input CBM value is None. for CBM at row index 8
2025-12-02 12:48:12,368 - DEBUG - data_processor.py:242 - [_calculate_single_cbm] Attempting to parse CBM string: '2.2*1.8*0.42'. for CBM at row index 9
2025-12-02 12:48:12,368 - DEBUG - data_processor.py:277 - [_calculate_single_cbm] Calculated CBM volume: 1.6632 from '2.2*1.8*0.42' (Dims: [Decimal('2.2'), Decimal('1.8'), Decimal('0.42')]). for CBM at row index 9
2025-12-02 12:48:12,368 - DEBUG - data_processor.py:242 - [_calculate_single_cbm] Attempting to parse CBM string: '2.2*1.8*0.7'. for CBM at row index 10
2025-12-02 12:48:12,368 - DEBUG - data_processor.py:277 - [_calculate_single_cbm] Calculated CBM volume: 2.7720 from '2.2*1.8*0.7' (Dims: [Decimal('2.2'), Decimal('1.8'), Decimal('0.7')]). for CBM at row index 10
2025-12-02 12:48:12,368 - DEBUG - data_processor.py:242 - [_calculate_single_cbm] Attempting to parse CBM string: '2.2*1.8*0.65'. for CBM at row index 11
2025-12-02 12:48:12,368 - DEBUG - data_processor.py:277 - [_calculate_single_cbm] Calculated CBM volume: 2.5740 from '2.2*1.8*0.65' (Dims: [Decimal('2.2'), Decimal('1.8'), Decimal('0.65')]). for CBM at row index 11
2025-12-02 12:48:12,368 - DEBUG - data_processor.py:216 - [_calculate_single_cbm] Input CBM value is None. for CBM at row index 12
2025-12-02 12:48:12,369 - DEBUG - data_processor.py:242 - [_calculate_single_cbm] Attempting to parse CBM string: '2.2*1.8*0.76'. for CBM at row index 13
2025-12-02 12:48:12,370 - DEBUG - data_processor.py:277 - [_calculate_single_cbm] Calculated CBM volume: 3.0096 from '2.2*1.8*0.76' (Dims: [Decimal('2.2'), Decimal('1.8'), Decimal('0.76')]). for CBM at row index 13
2025-12-02 12:48:12,370 - DEBUG - data_processor.py:242 - [_calculate_single_cbm] Attempting to parse CBM string: '2.2*1.8*0.27'. for CBM at row index 14
2025-12-02 12:48:12,370 - DEBUG - data_processor.py:277 - [_calculate_single_cbm] Calculated CBM volume: 1.0692 from '2.2*1.8*0.27' (Dims: [Decimal('2.2'), Decimal('1.8'), Decimal('0.27')]). for CBM at row index 14
2025-12-02 12:48:12,370 - DEBUG - data_processor.py:216 - [_calculate_single_cbm] Input CBM value is None. for CBM at row index 15
2025-12-02 12:48:12,370 - DEBUG - data_processor.py:242 - [_calculate_single_cbm] Attempting to parse CBM string: '2.2*1.8*0.38'. for CBM at row index 16
2025-12-02 12:48:12,371 - DEBUG - data_processor.py:277 - [_calculate_single_cbm] Calculated CBM volume: 1.5048 from '2.2*1.8*0.38' (Dims: [Decimal('2.2'), Decimal('1.8'), Decimal('0.38')]). for CBM at row index 16
2025-12-02 12:48:12,371 - DEBUG - data_processor.py:242 - [_calculate_single_cbm] Attempting to parse CBM string: '2.2*1.8*0.42'. for CBM at row index 17
2025-12-02 12:48:12,371 - DEBUG - data_processor.py:277 - [_calculate_single_cbm] Calculated CBM volume: 1.6632 from '2.2*1.8*0.42' (Dims: [Decimal('2.2'), Decimal('1.8'), Decimal('0.42')]). for CBM at row index 17
2025-12-02 12:48:12,371 - DEBUG - data_processor.py:216 - [_calculate_single_cbm] Input CBM value is None. for CBM at row index 18
2025-12-02 12:48:12,371 - DEBUG - data_processor.py:242 - [_calculate_single_cbm] Attempting to parse CBM string: '2.2*1.8*0.67'. for CBM at row index 19
2025-12-02 12:48:12,371 - DEBUG - data_processor.py:277 - [_calculate_single_cbm] Calculated CBM volume: 2.6532 from '2.2*1.8*0.67' (Dims: [Decimal('2.2'), Decimal('1.8'), Decimal('0.67')]). for CBM at row index 19
2025-12-02 12:48:12,371 - DEBUG - data_processor.py:242 - [_calculate_single_cbm] Attempting to parse CBM string: '2.2*1.8*0.6'. for CBM at row index 20
2025-12-02 12:48:12,371 - DEBUG - data_processor.py:277 - [_calculate_single_cbm] Calculated CBM volume: 2.3760 from '2.2*1.8*0.6' (Dims: [Decimal('2.2'), Decimal('1.8'), Decimal('0.6')]). for CBM at row index 20
2025-12-02 12:48:12,371 - DEBUG - data_processor.py:216 - [_calculate_single_cbm] Input CBM value is None. for CBM at row index 21
2025-12-02 12:48:12,371 - DEBUG - data_processor.py:242 - [_calculate_single_cbm] Attempting to parse CBM string: '2.2*1.8*0.49'. for CBM at row index 22
2025-12-02 12:48:12,371 - DEBUG - data_processor.py:277 - [_calculate_single_cbm] Calculated CBM volume: 1.9404 from '2.2*1.8*0.49' (Dims: [Decimal('2.2'), Decimal('1.8'), Decimal('0.49')]). for CBM at row index 22
2025-12-02 12:48:12,371 - DEBUG - data_processor.py:216 - [_calculate_single_cbm] Input CBM value is None. for CBM at row index 23
